,date,DP_lag,exret
1,1926-07-31,0.002186230000000001,0.026147280000000002
2,1926-08-31,0.0032896500000000016,0.00348737
3,1926-09-30,0.0057573251,-0.03219619
4,1926-10-31,0.0020726200000000007,0.02545394
5,1926-11-30,0.005575239999999999,0.026411
6,1926-12-31,0.0077891,-8.377199999999975e-05
7,1927-01-31,0.0023629913500000004,0.042770100000000005
8,1927-02-28,0.004195210000000005,0.0007562790000000003
9,1927-03-31,0.0059979510000000005,0.004725051000000001
10,1927-04-30,0.002090959,0.05477311
11,1927-05-31,0.00415045,-0.02368671
12,1927-06-30,0.00631953,0.07227909
13,1927-07-31,0.00240963000000001,0.01969037
14,1927-08-31,0.004052089999999998,0.04782352
15,1927-09-30,0.004920809999999998,-0.0432699
16,1927-10-31,0.0018238000000000004,0.06635258
17,1927-11-30,0.005153099999999994,0.02158212
18,1927-12-31,0.00557591,-0.005839723
19,1928-01-31,0.0017616430000000002,-0.01777756
20,1928-02-29,0.003641430000000001,0.08757843
21,1928-03-31,0.0048968100000000014,0.04164581
22,1928-04-30,0.0017642400000000003,0.01449032
23,1928-05-31,0.0037400299999999984,-0.04834517
24,1928-06-30,0.005043520000000003,0.006199799000000001
25,1928-07-31,0.0017736890000000002,0.06700616000000001
26,1928-08-31,0.004019839999999997,0.028797829999999996
27,1928-09-30,0.0034574299999999974,0.015127950000000001
28,1928-10-31,0.001577740000000001,0.1176999
29,1928-11-30,0.005117200000000002,0.004957177
30,1928-12-31,0.004208873,0.05053473
31,1929-01-31,0.0015886899999999968,-0.0040461388
32,1929-02-28,0.0029394502,-0.011208392000000001
33,1929-03-31,0.003986438,0.013579130000000002
34,1929-04-30,0.0013836500000000002,-0.06432296
35,1929-05-31,0.0040474,0.0963726
36,1929-06-30,0.003497420000000001,0.042657610000000006
37,1929-07-31,0.001808870000000004,0.08134303
38,1929-08-31,0.003390389999999993,-0.05395466
39,1929-09-30,0.00278138,-0.20128359999999998
40,1929-10-31,0.0018296000000000145,-0.1275121
41,1929-11-30,0.004180300000000012,0.01269001
42,1929-12-31,0.00561675,0.057006610000000006
43,1930-01-31,0.002600650000000003,0.025241660000000003
44,1930-02-28,0.003893380000000002,0.07113142
45,1930-03-31,0.004060460000000002,-0.0226411
46,1930-04-30,0.0019192500000000008,-0.01661008
47,1930-05-31,0.0036005299999999976,-0.1626798
48,1930-06-30,0.004279499999999992,0.039963649999999996
49,1930-07-31,0.0024347399999999977,0.002762904
50,1930-08-31,0.0042439903,-0.1270049
51,1930-09-30,0.004633599999999988,-0.08747879
52,1930-10-31,0.0025497899999999962,-0.02935652
53,1930-11-30,0.0038602800000000007,-0.07913924
54,1930-12-31,0.0066965199999999975,0.062280459999999996
55,1931-01-31,0.0027223199999999934,0.1092945
56,1931-02-28,0.004924800000000007,-0.06416590999999999
57,1931-03-31,0.005132709999999999,-0.10101899999999998
58,1931-04-30,0.0021475000000000105,-0.1347355
59,1931-05-31,0.0045491,0.1395397
60,1931-06-30,0.007162299999999983,-0.06703803
61,1931-07-31,0.002588840000000009,0.002778467
62,1931-08-31,0.004625323000000001,-0.2920314
63,1931-09-30,0.0052098999999999895,0.08050863
64,1931-10-31,0.003295720000000002,-0.09010158
65,1931-11-30,0.006506879999999993,-0.13617100000000001
66,1931-12-31,0.008521699999999993,-0.01283417
67,1932-01-31,0.0024289399999999992,0.05536299
68,1932-02-29,0.007072640000000005,-0.1121994
69,1932-03-31,0.007378799999999991,-0.18051659999999997
70,1932-04-30,0.0026156999999999986,-0.20679779999999998
71,1932-05-31,0.006606500000000015,-0.0044885739999999995
72,1932-06-30,0.011565566,0.34034329999999996
73,1932-07-31,0.002481000000000011,0.37108769999999996
74,1932-08-31,0.006074299999999977,-0.02894889
75,1932-09-30,0.00596006,-0.1327531
76,1932-10-31,0.001471299999999981,-0.05846015
77,1932-11-30,0.005251989999999991,0.045127219999999996
78,1932-12-31,0.00869052,0.009713348000000002
79,1933-01-31,0.0019239180000000002,-0.1529038
80,1933-02-28,0.0048668000000000045,0.032705370000000004
81,1933-03-31,0.0080754,0.3931433
82,1933-04-30,0.0020105999999999735,0.2128608
83,1933-05-31,0.003558800000000001,0.13316419999999998
84,1933-06-30,0.0046025999999999845,-0.09654148000000001
85,1933-07-31,0.0009203399999999917,0.1209846
86,1933-08-31,0.0024037999999999976,-0.1060357
87,1933-09-30,0.004095700000000008,-0.0837499
88,1933-10-31,0.0013970900000000036,0.09969588
89,1933-11-30,0.0050900900000000054,0.017675640000000003
90,1933-12-31,0.004350650000000001,0.12627939999999999
91,1934-01-31,0.001701299999999989,-0.024487099999999998
92,1934-02-28,0.0034069600000000005,0.004225098000000001
93,1934-03-31,0.004245787900000001,-0.01844544
94,1934-04-30,0.001397159999999998,-0.07237332
95,1934-05-31,0.0030787999999999927,0.02524446
96,1934-06-30,0.004521109999999998,-0.1094633
97,1934-07-31,0.0017661999999999956,0.05694261
98,1934-08-31,0.005332089999999998,-0.002461888
99,1934-09-30,0.004391075,-0.01899535
100,1934-10-31,0.0014377599999999997,0.08199548
101,1934-11-30,0.004611359999999995,0.0034540740000000006
102,1934-12-31,0.005378008,-0.033516290000000004
103,1935-01-31,0.0018322399999999989,-0.019661909999999998
104,1935-02-28,0.00431747,-0.036113200000000005
105,1935-03-31,0.005125560000000001,0.09035231
106,1935-04-30,0.0014652700000000046,0.03446105
107,1935-05-31,0.0039027500000000034,0.05769622
108,1935-06-30,0.004764160000000003,0.07406016
109,1935-07-31,0.0015469399999999967,0.02667315
